TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2016,Perempuan,Kimia,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAS,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPS,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAS,IPS,MENENGAH,TINGGI,5.000-20.000,Cukup,Cukup
2016,Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,Matematika,SMAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Memuaskan
2016,Laki-laki,PWK,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,PWK,SMAS,IPA,MENENGAH,MENENGAH,500-1.000,Kurang,Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2016,Laki-laki,Peternakan,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
2016,Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,5.000-20.000,Kurang,Sangat Memuaskan
2016,Perempuan,Biologi,SMAN,IPS,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,2.000-5.000,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Baik,Cumlaude
