TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Laki-laki,TI,SMAN,IPA,Tinggi,Tinggi,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Menengah,Dasar,2.000-5.000,Cukup,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,Tinggi,Menengah,5.000-20.000,Kurang,Sangat Memuaskan
2016,Perempuan,Biologi,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Perempuan,Biologi,SMAN,IPS,Dasar,Dasar,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,MAN,IPS,Dasar,Dasar,2.000-5.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Menengah,Menengah,1.000-2.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Dasar,Menengah,1.000-2.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Menengah,Dasar,500-1.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Menengah,Menengah,2.000-5.000,Baik,Cumlaude
2016,Perempuan,Biologi,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,MAN,IPS,Tinggi,Menengah,2.000-5.000,Sangat Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Tinggi,Menengah,2.000-5.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Dasar,Dasar,1.000-2.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Menengah,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2016,Perempuan,Biologi,SMKN,Teknik,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,SMKS,Ekonomi,Menengah,Dasar,500-1.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,Menengah,Dasar,5.000-20.000,Sangat Baik,Cumlaude
2016,Laki-laki,Biologi,SMAS,IPS,Menengah,Tinggi,1.000-2.000,Baik,Cumlaude
2016,Perempuan,Biologi,SMAN,IPA,Menengah,Menengah,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,SMKS,Ekonomi,Menengah,Dasar,5.000-20.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAS,IPS,Dasar,Dasar,500-1.000,Baik,Cumlaude
2016,Perempuan,Fisika,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Menengah,Menengah,100-500,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Tinggi,Tinggi,5.000-20.000,Baik,Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMKS,Teknik,Dasar,Dasar,100-500,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Tinggi,Tinggi,5.000-20.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMKN,Teknik,Tinggi,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,Dasar,Dasar,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,Tinggi,Menengah,5.000-20.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,Dasar,Dasar,100-500,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Dasar,Dasar,100-500,Sangat Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,MAS,IPA,Dasar,Dasar,500-1.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAN,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Peternakan,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAS,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
