jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Perempuan,Fisika,SMAN,IPA,MENENGAH,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,MENENGAH,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Fisika,MAN,IPS,MENENGAH,MENENGAH,500-1.000,Sangat Baik,Cumlaude
Laki-laki,Fisika,MAN,IPS,DASAR,DASAR,100-500,Sangat Baik,Cumlaude
Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPS,DASAR,MENENGAH,500-1.000,Baik,Cumlaude
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPS,DASAR,MENENGAH,500-1.000,Baik,Cumlaude
Perempuan,Biologi,MAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPS,DASAR,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Biologi,MAN,IPA,DASAR,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,SMAS,IPS,TINGGI,MENENGAH,500-1.000,Baik,Cumlaude
Perempuan,Biologi,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,SMKN,EKONOMI,DASAR,MENENGAH,500-1.000,Sangat Baik,Cumlaude
Perempuan,Kimia,SMAS,IPS,MENENGAH,DASAR,5.000-20.000,Sangat Baik,Cukup
Laki-laki,Peternakan,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
